id,kategorija,podkategorija,defekt
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,"Curenje tečnosti na spojevima (menjač, karter), , ,"
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,labave zaštitne plastike (šuspleh)
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,korozija na spojevima
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Podvozje,loše zategnuti elementi oslanjanja.
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,"Ogrebotine na alu-felnama, ,"
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,"pogrešan smer rotacije gume,"
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,nedovoljan pritisak
NTV-TRANS-001,FUNKCIONALNE ZONE I PODVOZJE,Točkovi i gume,nedostatak kapica na ventilima.
